"CommonWith","CommonWithout","CommonIntersection","Uncommen","UncommonWith","UncommonWithout"
"mitotic spindle","extracellular region","mitotic spindle assembly",NA,NA,NA
"microtubule binding","chromatin organization","regulation of attachment of spindle microtubules to kinetochore",NA,NA,NA
"protein localization to chromosome","attachment of spindle microtubules to kinetochore","regulation of cellular component organization",NA,NA,NA
"spindle organization","female gamete generation","negative regulation of cellular process",NA,NA,NA
"enzyme binding","regulation of attachment of spindle microtubules to kinetochore","G2/M transition of mitotic cell cycle",NA,NA,NA
"mitotic spindle assembly","positive regulation of cellular process","meiosis I cell cycle process",NA,NA,NA
"regulation of attachment of spindle microtubules to kinetochore","spindle assembly","sexual reproduction",NA,NA,NA
"regulation of cellular component organization","extracellular organelle","microtubule cytoskeleton",NA,NA,NA
"microtubule","extracellular membrane-bounded organelle","cell cycle G1/S phase transition",NA,NA,NA
"negative regulation of cellular process","extracellular vesicle","cellular component biogenesis",NA,NA,NA
"intracellular signal transduction","meiotic nuclear division","microtubule cytoskeleton organization",NA,NA,NA
"cell population proliferation","mitotic spindle assembly","positive regulation of cell division",NA,NA,NA
"meiotic cell cycle phase transition","positive regulation of cytokinesis","G1/S transition of mitotic cell cycle",NA,NA,NA
"G2/M transition of mitotic cell cycle","cortical actin cytoskeleton organization","regulation of cytokinesis",NA,NA,NA
"meiosis I cell cycle process","positive regulation of nuclear division","meiotic nuclear division",NA,NA,NA
"sexual reproduction","positive regulation of mitotic sister chromatid separation","female meiotic nuclear division",NA,NA,NA
"microtubule cytoskeleton","meiosis I cell cycle process","mitotic metaphase chromosome alignment",NA,NA,NA
"cell cycle G1/S phase transition","extracellular space","attachment of mitotic spindle microtubules to kinetochore",NA,NA,NA
"cellular component biogenesis","cyclin-dependent protein serine/threonine kinase regulator activity","female gamete generation",NA,NA,NA
"microtubule cytoskeleton organization","positive regulation of cell population proliferation","protein-containing complex organization",NA,NA,NA
"microtubule-based process","positive regulation of chromosome separation","meiotic cell cycle process",NA,NA,NA
"positive regulation of cell division","meiosis I","positive regulation of cellular process",NA,NA,NA
"G1/S transition of mitotic cell cycle","positive regulation of apoptotic process","meiotic cell cycle",NA,NA,NA
"regulation of cytokinesis","membraneless organelle assembly","protein-containing complex",NA,NA,NA
"meiotic nuclear division","extracellular exosome","negative regulation of organelle organization",NA,NA,NA
"female meiotic nuclear division","protein-containing complex assembly","meiosis I",NA,NA,NA
"polymeric cytoskeletal fiber","regulation of cellular component organization","positive regulation of nuclear division",NA,NA,NA
"positive regulation of cellular component organization","female meiotic nuclear division","cytoskeleton organization",NA,NA,NA
